,s/a,w/c,s/c,a/c,smax/mm,Vf/%,l/d,fc0/MPa,fc/MPa
28,0.535714285714286,0.351111111111111,1.33333333333333,2.48888888888889,10.0,1.0,54.5,56.0,57.8
47,0.8,0.38,2.09,2.62,19.0,0.5,65.0,56.2,60.4
203,1.04377880184332,0.36,2.01333333333333,1.92888888888889,19.0,0.5,80.0,55.58,58.44
88,0.95,0.33,1.69,1.79,20.0,3.4,50.0,39.6,43.99
74,0.82,0.43,1.26,1.55,20.0,1.0,55.0,73.25,69.01
137,0.666064981949459,0.5,2.05,3.07777777777778,19.0,2.0,60.0,49.21,40.61
223,0.923529411764706,0.349075975359343,1.61190965092402,1.74537987679671,19.0,0.67,80.0,71.2,71.9
87,0.95,0.33,1.69,1.79,20.0,3.0,50.0,39.6,34.96
220,0.92223439211391,0.44949494949495,2.12626262626263,2.30555555555556,19.0,0.67,85.0,56.8,59.4
222,0.923529411764706,0.349075975359343,1.61190965092402,1.74537987679671,19.0,0.33,80.0,71.2,71.5
181,0.68,0.35,1.59,2.34,10.0,0.5,65.0,61.7,69.4
187,0.68,0.35,1.59,2.34,10.0,0.5,80.0,61.7,68.0
253,0.47,0.5,1.97,4.19,25.0,1.5,30.0,37.04,38.45
239,0.44,0.36,1.17,2.63,15.0,1.0,80.0,49.1,58.3
49,0.8,0.38,2.09,2.62,19.0,0.5,80.0,56.2,59.7
199,1.04218928164196,0.45974025974026,2.37402597402597,2.27792207792208,19.0,0.5,80.0,41.3,46.35
258,0.47,0.45,1.53,2.84,25.0,2.0,30.0,41.85,43.18
11,0.44,0.38,0.95,2.17,20.0,1.5,82.0,43.01,49.23
78,0.82,0.43,1.26,1.55,20.0,1.5,65.0,73.25,73.0
231,1.38,0.68,3.1,2.25,10.0,1.25,80.0,35.1,34.6
22,1.02,0.75,1.02,2.28,16.0,1.0,75.0,19.47,20.85
112,0.95,0.33,1.69,1.79,20.0,2.43,70.0,39.6,49.69
126,0.872663551401869,0.565178571428571,2.22321428571429,2.54761904761905,10.0,0.6,57.6,53.7,55.3
166,0.622535211267606,0.4125,1.6575,2.6625,25.0,0.5,67.0,47.9,48.2
169,10.9090909090909,0.217142857142857,1.71428571428571,0.157142857142857,2.5,1.5,50.0,110.9,127.1
183,0.68,0.35,1.59,2.34,10.0,1.5,65.0,61.7,75.9
117,0.95,0.33,1.69,1.79,20.0,1.3,100.0,39.6,43.74
257,0.47,0.45,1.53,2.84,25.0,1.5,30.0,41.85,43.38
140,0.667431192660551,0.230179028132992,0.744245524296675,1.1150895140665,19.0,2.0,60.0,90.14,96.54
134,0.872037914691943,0.446174863387978,2.01092896174863,2.30601092896175,10.0,1.2,57.6,69.7,76.4
12,0.67,0.44,1.79,2.69,19.0,1.0,60.0,70.2,79.9
121,0.636788048552754,0.420673076923077,1.63942307692308,2.57451923076923,12.5,1.0,80.0,46.85,52.0
200,1.04133180252583,0.45974025974026,2.35584415584416,2.26233766233766,19.0,1.0,80.0,41.3,47.25
215,0.923316062176166,0.550769230769231,2.74153846153846,2.96923076923077,19.0,1.0,85.0,47.2,50.9
77,0.82,0.43,1.26,1.55,20.0,1.0,65.0,73.25,72.6
69,0.82,0.54,1.68,2.05,20.0,1.5,65.0,56.13,52.2
119,0.610909090909091,0.501305483028721,1.75456919060052,2.87206266318538,20.0,0.5,60.0,21.67,24.92
157,0.666666666666667,0.419664268585132,1.73621103117506,2.60431654676259,20.0,2.0,60.0,47.53,57.92
195,0.74,0.45,2.28,3.08,10.0,1.5,80.0,52.4,64.2
67,0.82,0.54,1.68,2.05,20.0,0.5,65.0,56.13,54.87
38,4.0625,0.6,3.42105263157895,0.842105263157895,9.5,0.5,75.0,35.0,35.4
54,0.8,0.38,2.09,2.62,19.0,1.0,80.0,60.1,70.5
129,0.872162485065711,0.483879781420765,1.99453551912568,2.28688524590164,10.0,0.6,57.6,60.9,62.4
173,0.65,0.25,1.24,1.91,10.0,1.0,65.0,85.5,90.3
161,0.622535211267606,0.495,1.6575,2.6625,25.0,0.25,67.0,36.4,34.6
59,0.64,0.35,1.35,2.12,12.5,2.0,40.0,57.82,62.06
182,0.68,0.35,1.59,2.34,10.0,1.0,65.0,61.7,72.3
133,0.872037914691943,0.446174863387978,2.01092896174863,2.30601092896175,10.0,0.9,57.6,69.7,74.6
219,0.92223439211391,0.44949494949495,2.12626262626263,2.30555555555556,19.0,0.33,85.0,56.8,56.9
230,1.38,0.68,3.1,2.25,10.0,1.0,80.0,35.1,34.2
226,0.923529411764706,0.349075975359343,1.61190965092402,1.74537987679671,19.0,0.67,85.0,71.2,71.3
89,0.95,0.33,1.69,1.79,20.0,0.8,50.0,39.6,44.56
53,0.8,0.38,2.09,2.62,19.0,0.5,80.0,60.1,63.2
206,1.04079254079254,0.36,2.15700483091787,2.07246376811594,19.0,1.0,80.0,63.34,69.97
17,0.7,0.31,1.72,2.45,19.0,0.5,64.0,85.0,91.0
149,1.66666666666667,0.3003003003003,1.35135135135135,0.810810810810811,19.0,0.5,60.0,60.0,66.6
108,0.95,0.33,1.69,1.79,20.0,1.43,70.0,39.6,43.33
24,0.535714285714286,0.475,1.5,2.8,10.0,0.5,54.5,29.8,30.5
177,0.65,0.25,1.24,1.91,10.0,1.5,80.0,85.5,93.0
234,0.44,0.36,1.16,2.62,15.0,1.5,45.0,49.1,57.7
75,0.82,0.43,1.26,1.55,20.0,1.5,55.0,73.25,70.5
266,0.67,0.45,2.0,3.0,16.0,1.0,60.0,37.9,39.5
64,0.82,0.54,1.68,2.05,20.0,0.5,55.0,56.13,52.25
213,0.923316062176166,0.550769230769231,2.74153846153846,2.96923076923077,19.0,0.33,85.0,47.2,49.4
10,0.44,0.38,0.95,2.17,20.0,1.0,82.0,43.01,46.12
232,0.44,0.36,1.18,2.66,15.0,0.5,45.0,49.1,50.8
8,0.44,0.38,0.95,2.17,20.0,1.5,55.0,43.01,46.97
224,0.923529411764706,0.349075975359343,1.61190965092402,1.74537987679671,19.0,1.0,80.0,71.2,72.3
101,0.95,0.33,1.69,1.79,20.0,1.67,60.0,39.6,45.26
145,1.66666666666667,0.3003003003003,1.35135135135135,0.810810810810811,13.0,0.5,60.0,60.0,64.5
93,0.95,0.33,1.69,1.79,20.0,2.6,50.0,39.6,38.17
262,0.46,0.4,1.24,2.67,25.0,2.0,30.0,47.84,48.95
201,1.04009163802978,0.45974025974026,2.56352343308865,2.46470920383964,19.0,0.5,80.0,49.88,53.79
252,0.47,0.5,1.97,4.19,25.0,1.0,30.0,37.04,37.9
144,1.66666666666667,0.3003003003003,1.35135135135135,0.810810810810811,8.0,2.0,60.0,60.0,68.2
165,0.622535211267606,0.4125,1.6575,2.6625,25.0,0.375,67.0,47.9,48.7
197,0.74,0.45,2.28,3.08,10.0,1.0,80.0,52.4,59.7
247,0.54,0.24,1.11,2.06,20.0,0.5,55.0,103.6,115.4
218,0.92223439211391,0.44949494949495,2.12626262626263,2.30555555555556,19.0,1.0,80.0,56.8,59.9
124,0.636788048552754,0.443937087772704,1.7300862506342,2.71689497716895,12.5,1.0,80.0,52.56,56.01
212,0.923316062176166,0.550769230769231,2.74153846153846,2.96923076923077,19.0,1.0,80.0,47.2,49.2
45,0.8,0.38,2.09,2.62,19.0,0.5,80.0,36.4,41.4
241,0.67,0.42,1.74,2.6,20.0,0.5,60.0,47.53,50.76
164,0.622535211267606,0.4125,1.6575,2.6625,25.0,0.25,67.0,47.9,46.7
62,0.51,0.35,1.2,2.35,15.0,1.6,40.0,66.7,58.2
242,0.67,0.42,1.74,2.6,20.0,1.0,60.0,47.53,51.92
221,0.92223439211391,0.44949494949495,2.12626262626263,2.30555555555556,19.0,1.0,85.0,56.8,61.1
185,0.68,0.35,1.59,2.34,10.0,1.0,80.0,61.7,76.4
125,0.638418079096045,0.443937087772704,1.71993911719939,2.69406392694064,12.5,1.5,80.0,52.56,57.4
98,0.95,0.33,1.69,1.79,20.0,2.5,60.0,39.6,45.76
246,0.67,0.42,1.74,2.6,20.0,1.5,80.0,47.53,53.24
236,0.44,0.36,1.17,2.63,15.0,1.0,65.0,49.1,58.3
70,0.82,0.54,1.68,2.05,20.0,0.5,80.0,56.13,53.63
68,0.82,0.54,1.68,2.05,20.0,1.0,65.0,56.13,54.9
16,0.56,0.28,0.96,1.71,19.0,1.5,60.0,103.6,104.0
238,0.44,0.36,1.18,2.66,15.0,0.5,80.0,49.1,56.0
3,0.49,0.49,1.42,2.9,20.0,0.5,82.0,29.42,32.83
43,0.8,0.38,2.09,2.62,19.0,0.5,65.0,36.4,38.3
46,0.8,0.38,2.09,2.62,19.0,1.0,80.0,36.4,45.7
264,1.69,0.42,2.79,1.65,12.5,1.0,80.0,48.5,61.3
51,0.8,0.38,2.09,2.62,19.0,0.5,65.0,60.1,66.5
135,0.666064981949459,0.5,2.05,3.07777777777778,19.0,0.5,60.0,49.21,39.14
240,0.44,0.36,1.16,2.62,15.0,1.5,80.0,49.1,52.1
19,0.7,0.31,1.72,2.45,19.0,1.5,64.0,85.0,98.0
29,0.540540540540541,0.351111111111111,1.33333333333333,2.46666666666667,10.0,1.5,54.5,56.0,59.4
9,0.44,0.38,0.95,2.17,20.0,0.5,82.0,43.01,45.65
136,0.666064981949459,0.5,2.05,3.07777777777778,19.0,1.0,60.0,49.21,40.77
243,0.67,0.42,1.74,2.6,20.0,1.5,60.0,47.53,53.65
65,0.82,0.54,1.68,2.05,20.0,1.0,55.0,56.13,54.5
113,0.95,0.33,1.69,1.79,20.0,0.4,100.0,39.6,40.83
97,0.95,0.33,1.69,1.79,20.0,2.17,60.0,39.6,43.49
80,0.82,0.43,1.26,1.55,20.0,1.0,80.0,73.25,67.0
110,0.95,0.33,1.69,1.79,20.0,1.86,70.0,39.6,40.61
31,0.539130434782609,0.28,1.37777777777778,2.55555555555556,10.0,1.0,54.5,72.4,74.8
269,0.53,0.51,1.94,0.53,14.0,1.5,70.0,19.94,23.77
131,0.872162485065711,0.483879781420765,1.99453551912568,2.28688524590164,10.0,1.2,57.6,60.9,66.2
