,s/a,w/c,s/c,a/c,smax/mm,Vf/%,l/d,fc0/MPa
194,0.74,0.45,2.28,3.08,10.0,1.0,80.0,52.4
195,0.74,0.45,2.28,3.08,10.0,1.5,80.0,52.4
196,0.74,0.45,2.28,3.08,10.0,0.5,80.0,52.4
197,0.74,0.45,2.28,3.08,10.0,1.0,80.0,52.4
198,0.74,0.45,2.28,3.08,10.0,1.5,80.0,52.4
199,1.04218928164196,0.45974025974026,2.37402597402597,2.27792207792208,19.0,0.5,80.0,41.3
200,1.04133180252583,0.45974025974026,2.35584415584416,2.26233766233766,19.0,1.0,80.0,41.3
201,1.04009163802978,0.45974025974026,2.56352343308865,2.46470920383964,19.0,0.5,80.0,49.88
202,1.04041570438799,0.45974025974026,2.54376058723885,2.44494635798984,19.0,1.0,80.0,49.88
203,1.04377880184332,0.36,2.01333333333333,1.92888888888889,19.0,0.5,80.0,55.58
204,1.04050925925926,0.36,1.99777777777778,1.92,19.0,1.0,80.0,55.58
205,1.04050925925926,0.36,2.17149758454106,2.08695652173913,19.0,0.5,80.0,63.34
206,1.04079254079254,0.36,2.15700483091787,2.07246376811594,19.0,1.0,80.0,63.34
207,0.502415458937198,0.399558498896247,1.37748344370861,2.74172185430464,22.0,0.38,80.0,27.1
208,0.502415458937198,0.399558498896247,1.37748344370861,2.74172185430464,22.0,0.57,80.0,27.1
209,0.502415458937198,0.399558498896247,1.37748344370861,2.74172185430464,22.0,0.76,80.0,27.1
210,0.923316062176166,0.550769230769231,2.74153846153846,2.96923076923077,19.0,0.33,80.0,47.2
211,0.923316062176166,0.550769230769231,2.74153846153846,2.96923076923077,19.0,0.67,80.0,47.2
212,0.923316062176166,0.550769230769231,2.74153846153846,2.96923076923077,19.0,1.0,80.0,47.2
213,0.923316062176166,0.550769230769231,2.74153846153846,2.96923076923077,19.0,0.33,85.0,47.2
214,0.923316062176166,0.550769230769231,2.74153846153846,2.96923076923077,19.0,0.67,85.0,47.2
215,0.923316062176166,0.550769230769231,2.74153846153846,2.96923076923077,19.0,1.0,85.0,47.2
216,0.92223439211391,0.44949494949495,2.12626262626263,2.30555555555556,19.0,0.33,80.0,56.8
217,0.92223439211391,0.44949494949495,2.12626262626263,2.30555555555556,19.0,0.67,80.0,56.8
218,0.92223439211391,0.44949494949495,2.12626262626263,2.30555555555556,19.0,1.0,80.0,56.8
219,0.92223439211391,0.44949494949495,2.12626262626263,2.30555555555556,19.0,0.33,85.0,56.8
220,0.92223439211391,0.44949494949495,2.12626262626263,2.30555555555556,19.0,0.67,85.0,56.8
221,0.92223439211391,0.44949494949495,2.12626262626263,2.30555555555556,19.0,1.0,85.0,56.8
222,0.923529411764706,0.349075975359343,1.61190965092402,1.74537987679671,19.0,0.33,80.0,71.2
223,0.923529411764706,0.349075975359343,1.61190965092402,1.74537987679671,19.0,0.67,80.0,71.2
224,0.923529411764706,0.349075975359343,1.61190965092402,1.74537987679671,19.0,1.0,80.0,71.2
225,0.923529411764706,0.349075975359343,1.61190965092402,1.74537987679671,19.0,0.33,85.0,71.2
226,0.923529411764706,0.349075975359343,1.61190965092402,1.74537987679671,19.0,0.67,85.0,71.2
227,0.923529411764706,0.349075975359343,1.61190965092402,1.74537987679671,19.0,1.0,85.0,71.2
228,1.38,0.68,3.1,2.25,10.0,0.5,80.0,35.1
229,1.38,0.68,3.1,2.25,10.0,0.75,80.0,35.1
230,1.38,0.68,3.1,2.25,10.0,1.0,80.0,35.1
231,1.38,0.68,3.1,2.25,10.0,1.25,80.0,35.1
232,0.44,0.36,1.18,2.66,15.0,0.5,45.0,49.1
233,0.44,0.36,1.17,2.63,15.0,1.0,45.0,49.1
